"PackageId","CurrentVersion","LatestVersion","GitHubOwner","GitHubRepo","GitHubUrl","InstallerUrl","ManifestPath"
"OpenGMK.GM8Decompiler.GNU","2.1.1","2.2.0","OpenGMK","GM8Decompiler","https://github.com/OpenGMK/GM8Decompiler","https://github.com/OpenGMK/GM8Decompiler/releases/download/v2.1.1/gm8decompiler-v2.1.1-i686-pc-windows-gnu.zip","\manifests\o\OpenGMK\GM8Decompiler\GNU\2.1.1\OpenGMK.GM8Decompiler.GNU.installer.yaml"
"M2Team.NanaZip.Preview","5.1.1263.0","5.0.1263.0","M2Team","NanaZip","https://github.com/M2Team/NanaZip","https://github.com/M2Team/NanaZip/releases/download/5.1.1263.0/NanaZipPreview_5.1.1263.0.msixbundle","\manifests\m\M2Team\NanaZip\Preview\5.1.1263.0\M2Team.NanaZip.Preview.installer.yaml"
"LovettSoftware.MyMoney.Net","2.0.1.10","2.1.0.49","MoneyTools","MyMoney.Net","https://github.com/MoneyTools/MyMoney.Net","https://github.com/MoneyTools/MyMoney.Net/releases/download/2.0.1.10/MoneyPackage_2.0.1.10_AnyCPU.msixbundle","\manifests\l\LovettSoftware\MyMoney\Net\2.0.1.10\LovettSoftware.MyMoney.Net.installer.yaml"
"CubicSDR.CubicSDR","0.2.5","0.2.7","cjcliffe","CubicSDR","https://github.com/cjcliffe/CubicSDR","https://github.com/cjcliffe/CubicSDR/releases/download/0.2.5/CubicSDR-0.2.5-win64.exe","\manifests\c\CubicSDR\CubicSDR\0.2.5\CubicSDR.CubicSDR.installer.yaml"
"NelsonNumericalSoftware.Nelson","1.13.0.4854","1.13.0","nelson-lang","nelson","https://github.com/nelson-lang/nelson","https://github.com/nelson-lang/nelson/releases/download/v1.13.0/Nelson-1.13.0.4854-x86-64.exe","\manifests\n\NelsonNumericalSoftware\Nelson\1.13.0.4854\NelsonNumericalSoftware.Nelson.installer.yaml"
"GeoDa.GeoDa","1.22","1.22.0.14","GeoDaCenter","geoda","https://github.com/GeoDaCenter/geoda","https://github.com/GeoDaCenter/geoda/releases/download/v1.22.0.14/GeoDa-Windows7+-x64-installer.zip","\manifests\g\GeoDa\GeoDa\1.22\GeoDa.GeoDa.installer.yaml"
"krzys-h.UndertaleModTool","0.6.1.0","0.7.0.0","krzys-h","UndertaleModTool","https://github.com/krzys-h/UndertaleModTool","https://github.com/krzys-h/UndertaleModTool/releases/download/0.6.1.0/UndertaleModTool_v0.6.1.0.zip","\manifests\k\krzys-h\UndertaleModTool\0.6.1.0\krzys-h.UndertaleModTool.installer.yaml"
"Microsoft.WindowsTerminal.Preview","1.23.10732.0","1.22.10731.0","microsoft","terminal","https://github.com/microsoft/terminal","https://github.com/microsoft/terminal/releases/download/v1.23.10732.0/Microsoft.WindowsTerminalPreview_1.23.10732.0_8wekyb3d8bbwe.msixbundle","\manifests\m\Microsoft\WindowsTerminal\Preview\1.23.10732.0\Microsoft.WindowsTerminal.Preview.installer.yaml"
"InkStitch.InkStitch","3.0.1","3.1.0","inkstitch","inkstitch","https://github.com/inkstitch/inkstitch","https://github.com/inkstitch/inkstitch/releases/download/v3.0.1/inkstitch-v3.0.1-windows.exe","\manifests\i\InkStitch\InkStitch\3.0.1\InkStitch.InkStitch.installer.yaml"
"oxen-io.lokinet","0.9.11","0.9.13","oxen-io","lokinet","https://github.com/oxen-io/lokinet","https://github.com/oxen-io/lokinet/releases/download/v0.9.11/lokinet-0.9.11-win64.exe","\manifests\o\oxen-io\lokinet\0.9.11\oxen-io.lokinet.installer.yaml"
